Headline,Date,url,description,image,include,section,title,hero,original_image_url
Here's how Africa wants to redraw the world map,26-Aug-25,https://www.washingtonpost.com/world/interactive/2025/mercator-map-africa-au-size/,"The Mercator projection, a centuries-old map style from the age of sail, still prevails in the internet age. Here's what the African Union wants to use instead.",https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GZW3YZMKX5AVDLCKTDMN4HYV6I.jpg&w=1200,1,more,Here's how Africa wants to redraw the world map,/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GZW3YZMKX5AVDLCKTDMN4HYV6I.jpg&w=1200
"What is the Massive Ordnance Penetrator, the U.S. bunker-busting bomb?",22-Jun-25,https://www.washingtonpost.com/national-security/2025/06/17/massive-ordnance-penetrator-iran-bunker-buster/,"Iran's nuclear sites were targeted with more than a dozen of the 30,000-pound bunker-busters deployed from B-2 stealth bombers.",https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/YHYNIBRXCC3VUR23VOMKXUSJCE.jpg&w=1440,,more,"What is the Massive Ordnance Penetrator, the U.S. bunker-busting bomb?",/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/YHYNIBRXCC3VUR23VOMKXUSJCE.jpg&w=1440
"Israel's air defense against Iran, explained",20-Jun-25,https://www.washingtonpost.com/world/2025/06/20/israel-air-defense-iran-iron-dome-missile-arrow/,Israeli officials this week reported an interception success rate of more than 90 percent.,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/XGG2KWMJUI45A2IM2FB5VTSWHU.jpg&w=1440,,more,"Israel's air defense against Iran, explained",/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/XGG2KWMJUI45A2IM2FB5VTSWHU.jpg&w=1440
"How Francis, the second-oldest pope in modern history, compared with others",21-Apr-25,https://www.washingtonpost.com/world/2025/04/21/pope-francis-age/,"Pope Francis, the second-oldest pope in modern history, has died at age 88, leaving behind a legacy of change in the Catholic Church.",https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/UAKVR3JBAJFLRGZNRROHYU6W5U.jpg&w=1440,1,more,"How Francis, the second-oldest pope in modern history, compared with others",/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/UAKVR3JBAJFLRGZNRROHYU6W5U.jpg&w=1440
"Where to view cherry blossoms in the D.C. area, mapped",13-Mar-25,https://www.washingtonpost.com/dc-md-va/2025/cherry-blossom-map-dc-region/,"These maps show some of the best places to see cherry blossoms in Washington D.C., Maryland and Virginia.",https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/KTZGYCM6MBHJDP2WHJC2NP6C6A.jpg&w=1440,1,more,"Where to view cherry blossoms in the D.C. area, mapped",/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/KTZGYCM6MBHJDP2WHJC2NP6C6A.jpg&w=1440
No clock change? See how early or late you would be in the dark.,7-Mar-25,https://www.washingtonpost.com/nation/interactive/2024/no-daylight-saving-time-see-how-early-or-late-you-would-be-dark/,"Would you be okay if the sun rose before 4 a.m., or after 10? Not changing clocks is a popular idea, but we'd have to live with the extremes.",https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/3JSKQKOPSJHMPE7P7U6VNQITAY.jpg&w=1200,1,more,No clock change? See how early or late you would be in the dark.,/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/3JSKQKOPSJHMPE7P7U6VNQITAY.jpg&w=1200
"How Trump built his victory, vote by vote",8-Nov-24,https://www.washingtonpost.com/elections/interactive/2024/2024-election-vote-map/,"Using sand to represent individual votes, The Post explains where key votes gave Trump a second term in the White House.",https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/XLUSUBLFWVAS7JPFKKZJE4HBYE.jpg&w=1200,1,more,"How Trump built his victory, vote by vote",/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/XLUSUBLFWVAS7JPFKKZJE4HBYE.jpg&w=1200
"Iron Dome, David's Sling, Arrow: Israel's air defense against Iran, explained",2-Oct-24,https://www.washingtonpost.com/world/2024/04/15/israel-air-defense-iron-dome-iran/,The barrage of nearly 200 ballistic missiles Tuesday was Iran's second major missile attack on Israel in five months.,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/O7LZ3I6OUFP6TASFURYE3P7IG4.JPG&w=1440,,more,"Iron Dome, David's Sling, Arrow: Israel's air defense against Iran, explained",/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/O7LZ3I6OUFP6TASFURYE3P7IG4.JPG&w=1440
Where floods from Hurricane Helene are ravaging the North Carolina mountains,30-Sep-24,https://www.washingtonpost.com/weather/2024/09/29/hurricane-helene-north-carolina-floods/,"Hurricane Helene caused catastrophic flooding in North Carolina, impacting Asheville and Buncombe County.",https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/YZQULNRHZVEALPP5JZ2E3DIIKU_size-normalized.png&w=1440,1,more,Where floods from Hurricane Helene are ravaging the North Carolina mountains,/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/YZQULNRHZVEALPP5JZ2E3DIIKU_size-normalized.png&w=1440
Hurricane Helene tracker: Map and projected storm path,26-Sep-24,https://www.washingtonpost.com/weather/2024/09/24/hurricane-helene-path-tracker-map/,Hurricane Helene is the 8th named storm of the Atlantic hurricane season.,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/3O2QZICU7ZCIDB7VBPHZ7SIMNM.jpg&w=1440,,more,Hurricane Helene tracker: Map and projected storm path,/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/3O2QZICU7ZCIDB7VBPHZ7SIMNM.jpg&w=1440
