Headline,Date,url,description,image,include,section,title,hero,original_image_url
2008: The year in photos,8/4/09,https://flickr.com/photos/timmeko/3788352905/,I designed this interactive package that highlighted the best photos from the Columbus Dispatch's photographers in 2008. Photographers narrated the stories behind the photos. audio.dispatch.com/flash/08yip/year.html,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2008-the-year-in-photos_3788352905_o.png,,more,2008: The year in photos,/assets/images/more-2008-the-year-in-photos_3788352905_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2008-the-year-in-photos_3788352905_o.png
2009 NCAA interactive brackets,8/4/09,https://flickr.com/photos/timmeko/3788353585/,Interactive brackets for the 2009 NCAA basketball tournament. Users could mouse-over any team for more information (displayed at the top of the screen). http://audio.dispatch.com/flash/09brackets/09brackets_031409.html,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2009-ncaa-interactive-brackets_3788353585_o.png,,more,2009 NCAA interactive brackets,/assets/images/more-2009-ncaa-interactive-brackets_3788353585_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2009-ncaa-interactive-brackets_3788353585_o.png
2009 Statewide issues map,11/4/09,https://flickr.com/photos/timmeko/4074847453/,Fully automatic and interactive map linked to the Ohio Secretary of State's website.audio.dispatch.com/flash/election/election.html,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2009-statewide-issues-map_4074847453_o.png,,more,2009 Statewide issues map,/assets/images/more-2009-statewide-issues-map_4074847453_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2009-statewide-issues-map_4074847453_o.png
2009 Year in Photos,1/21/10,https://flickr.com/photos/timmeko/4293569434/,Interactive feature to go with the 2009 Year in Photos Special Section video,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2009-year-in-photos_4293569434_o.jpg,,more,2009 Year in Photos,/assets/images/more-2009-year-in-photos_4293569434_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2009-year-in-photos_4293569434_o.jpg
2011 Urban Institute Cross-topic publications,2/21/12,https://flickr.com/photos/timmeko/6916574219/,interactive graphic that shows frequency of cross-topic publications.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2011-urban-institute-cross-topic-publications_6916574219_o.jpg,,more,2011 Urban Institute Cross-topic publications,/assets/images/more-2011-urban-institute-cross-topic-publications_6916574219_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/2011-urban-institute-cross-topic-publications_6916574219_o.jpg
27 Weeks: Long-term Unemployment in America,3/18/14,https://flickr.com/photos/timmeko/13231831485/,"Web feature: urbn.is/LTU Four years after the end of the Great Recession, long-term unemployment remains at record high levels. As of June 2013, 4.2 million people—a staggering 36.7 percent of the unemployed—have been out of work for longer than six months.",/Users/mekot/mcp-files/timmeko-dot-com/flickr/27-weeks-long-term-unemployment-in-america_13231831485_o.png,1,more,27 Weeks: Long-term Unemployment in America,/assets/images/more-27-weeks-long-term-unemployment-in-america_13231831485_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/27-weeks-long-term-unemployment-in-america_13231831485_o.png
A snapshot of Ohio's cities,8/3/09,https://flickr.com/photos/timmeko/3786326724/,On the Brink was a series that looked into Ohio's large cities and whether they could return to their former glory.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/a-snapshot-of-ohios-cities_3786326724_o.jpg,1,more,A snapshot of Ohio's cities,/assets/images/more-a-snapshot-of-ohios-cities_3786326724_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/a-snapshot-of-ohios-cities_3786326724_o.jpg
Alaska,8/3/09,https://flickr.com/photos/timmeko/3785523475/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/alaska_3785523475_o.jpg,,more,Alaska,/assets/images/more-alaska_3785523475_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/alaska_3785523475_o.jpg
Ardi,10/7/09,https://flickr.com/photos/timmeko/3990346735/,"A look at the fossilized skeleton of 'Ardi,' a 4 million year old human ancestor.",/Users/mekot/mcp-files/timmeko-dot-com/flickr/ardi_3990346735_o.jpg,1,more,Ardi,/assets/images/more-ardi_3990346735_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/ardi_3990346735_o.jpg
Backyard Barbecue History,1/30/10,https://flickr.com/photos/timmeko/4314470119/,Pull-apart graphic of the 'big mama burger.' I actually ate this monstrosity.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/backyard-barbecue-history_4314470119_o.jpg,1,more,Backyard Barbecue History,/assets/images/more-backyard-barbecue-history_4314470119_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/backyard-barbecue-history_4314470119_o.jpg
